name,website,description,yc_url
Company1,https://company1.com,Description of Company 1,https://www.ycombinator.com/companies/company1
Company2,https://company2.com,Description of Company 2,https://www.ycombinator.com/companies/company2
Company3,https://company3.com,Description of Company 3,https://www.ycombinator.com/companies/company3
Company4,https://company4.com,Description of Company 4,https://www.ycombinator.com/companies/company4
Company5,https://company5.com,Description of Company 5,https://www.ycombinator.com/companies/company5
Company6,https://company6.com,Description of Company 6,https://www.ycombinator.com/companies/company6
Company7,https://company7.com,Description of Company 7,https://www.ycombinator.com/companies/company7
Company8,https://company8.com,Description of Company 8,https://www.ycombinator.com/companies/company8
Company9,https://company9.com,Description of Company 9,https://www.ycombinator.com/companies/company9
Company10,https://company10.com,Description of Company 10,https://www.ycombinator.com/companies/company10
Company11,https://company11.com,Description of Company 11,https://www.ycombinator.com/companies/company11
Company12,https://company12.com,Description of Company 12,https://www.ycombinator.com/companies/company12
Company13,https://company13.com,Description of Company 13,https://www.ycombinator.com/companies/company13
Company14,https://company14.com,Description of Company 14,https://www.ycombinator.com/companies/company14
Company15,https://company15.com,Description of Company 15,https://www.ycombinator.com/companies/company15
Company16,https://company16.com,Description of Company 16,https://www.ycombinator.com/companies/company16
Company17,https://company17.com,Description of Company 17,https://www.ycombinator.com/companies/company17
Company18,https://company18.com,Description of Company 18,https://www.ycombinator.com/companies/company18
Company19,https://company19.com,Description of Company 19,https://www.ycombinator.com/companies/company19
Company20,https://company20.com,Description of Company 20,https://www.ycombinator.com/companies/company20
Company21,https://company21.com,Description of Company 21,https://www.ycombinator.com/companies/company21
Company22,https://company22.com,Description of Company 22,https://www.ycombinator.com/companies/company22
Company23,https://company23.com,Description of Company 23,https://www.ycombinator.com/companies/company23
Company24,https://company24.com,Description of Company 24,https://www.ycombinator.com/companies/company24
Company25,https://company25.com,Description of Company 25,https://www.ycombinator.com/companies/company25
Company26,https://company26.com,Description of Company 26,https://www.ycombinator.com/companies/company26
Company27,https://company27.com,Description of Company 27,https://www.ycombinator.com/companies/company27
Company28,https://company28.com,Description of Company 28,https://www.ycombinator.com/companies/company28
Company29,https://company29.com,Description of Company 29,https://www.ycombinator.com/companies/company29
Company30,https://company30.com,Description of Company 30,https://www.ycombinator.com/companies/company30
Company31,https://company31.com,Description of Company 31,https://www.ycombinator.com/companies/company31
Company32,https://company32.com,Description of Company 32,https://www.ycombinator.com/companies/company32
Company33,https://company33.com,Description of Company 33,https://www.ycombinator.com/companies/company33
Company34,https://company34.com,Description of Company 34,https://www.ycombinator.com/companies/company34
Company35,https://company35.com,Description of Company 35,https://www.ycombinator.com/companies/company35
Company36,https://company36.com,Description of Company 36,https://www.ycombinator.com/companies/company36
Company37,https://company37.com,Description of Company 37,https://www.ycombinator.com/companies/company37
