name,website,description,yc_url
AgentMail,https://agentmail.to,AI email agent for businesses,https://www.ycombinator.com/companies/agentmail
Taptap,https://taptap.app,Social app for instant meetups,https://www.ycombinator.com/companies/taptap
Buildr,https://buildr.dev,Tools for construction project management,https://www.ycombinator.com/companies/buildr
Company 4,https://company4.com,Description for Company 4,https://www.ycombinator.com/companies/company4
Company 5,https://company5.com,Description for Company 5,https://www.ycombinator.com/companies/company5
Company 6,https://company6.com,Description for Company 6,https://www.ycombinator.com/companies/company6
Company 7,https://company7.com,Description for Company 7,https://www.ycombinator.com/companies/company7
Company 8,https://company8.com,Description for Company 8,https://www.ycombinator.com/companies/company8
Company 9,https://company9.com,Description for Company 9,https://www.ycombinator.com/companies/company9
Company 10,https://company10.com,Description for Company 10,https://www.ycombinator.com/companies/company10
Company 11,https://company11.com,Description for Company 11,https://www.ycombinator.com/companies/company11
Company 12,https://company12.com,Description for Company 12,https://www.ycombinator.com/companies/company12
Company 13,https://company13.com,Description for Company 13,https://www.ycombinator.com/companies/company13
Company 14,https://company14.com,Description for Company 14,https://www.ycombinator.com/companies/company14
Company 15,https://company15.com,Description for Company 15,https://www.ycombinator.com/companies/company15
Company 16,https://company16.com,Description for Company 16,https://www.ycombinator.com/companies/company16
Company 17,https://company17.com,Description for Company 17,https://www.ycombinator.com/companies/company17
Company 18,https://company18.com,Description for Company 18,https://www.ycombinator.com/companies/company18
Company 19,https://company19.com,Description for Company 19,https://www.ycombinator.com/companies/company19
Company 20,https://company20.com,Description for Company 20,https://www.ycombinator.com/companies/company20
Company 21,https://company21.com,Description for Company 21,https://www.ycombinator.com/companies/company21
Company 22,https://company22.com,Description for Company 22,https://www.ycombinator.com/companies/company22
Company 23,https://company23.com,Description for Company 23,https://www.ycombinator.com/companies/company23
Company 24,https://company24.com,Description for Company 24,https://www.ycombinator.com/companies/company24
Company 25,https://company25.com,Description for Company 25,https://www.ycombinator.com/companies/company25
Company 26,https://company26.com,Description for Company 26,https://www.ycombinator.com/companies/company26
Company 27,https://company27.com,Description for Company 27,https://www.ycombinator.com/companies/company27
Company 28,https://company28.com,Description for Company 28,https://www.ycombinator.com/companies/company28
Company 29,https://company29.com,Description for Company 29,https://www.ycombinator.com/companies/company29
Company 30,https://company30.com,Description for Company 30,https://www.ycombinator.com/companies/company30
Company 31,https://company31.com,Description for Company 31,https://www.ycombinator.com/companies/company31
Company 32,https://company32.com,Description for Company 32,https://www.ycombinator.com/companies/company32
Company 33,https://company33.com,Description for Company 33,https://www.ycombinator.com/companies/company33
Company 34,https://company34.com,Description for Company 34,https://www.ycombinator.com/companies/company34
Company 35,https://company35.com,Description for Company 35,https://www.ycombinator.com/companies/company35
Company 36,https://company36.com,Description for Company 36,https://www.ycombinator.com/companies/company36
Company 37,https://company37.com,Description for Company 37,https://www.ycombinator.com/companies/company37
Company 38,https://company38.com,Description for Company 38,https://www.ycombinator.com/companies/company38
Company 39,https://company39.com,Description for Company 39,https://www.ycombinator.com/companies/company39
Company 40,https://company40.com,Description for Company 40,https://www.ycombinator.com/companies/company40
Company 41,https://company41.com,Description for Company 41,https://www.ycombinator.com/companies/company41
Company 42,https://company42.com,Description for Company 42,https://www.ycombinator.com/companies/company42
Company 43,https://company43.com,Description for Company 43,https://www.ycombinator.com/companies/company43
Company 44,https://company44.com,Description for Company 44,https://www.ycombinator.com/companies/company44
Company 45,https://company45.com,Description for Company 45,https://www.ycombinator.com/companies/company45
Company 46,https://company46.com,Description for Company 46,https://www.ycombinator.com/companies/company46
Company 47,https://company47.com,Description for Company 47,https://www.ycombinator.com/companies/company47
Company 48,https://company48.com,Description for Company 48,https://www.ycombinator.com/companies/company48
Company 49,https://company49.com,Description for Company 49,https://www.ycombinator.com/companies/company49
Company 50,https://company50.com,Description for Company 50,https://www.ycombinator.com/companies/company50
Company 51,https://company51.com,Description for Company 51,https://www.ycombinator.com/companies/company51
Company 52,https://company52.com,Description for Company 52,https://www.ycombinator.com/companies/company52
Company 53,https://company53.com,Description for Company 53,https://www.ycombinator.com/companies/company53
Company 54,https://company54.com,Description for Company 54,https://www.ycombinator.com/companies/company54
Company 55,https://company55.com,Description for Company 55,https://www.ycombinator.com/companies/company55
Company 56,https://company56.com,Description for Company 56,https://www.ycombinator.com/companies/company56
Company 57,https://company57.com,Description for Company 57,https://www.ycombinator.com/companies/company57
Company 58,https://company58.com,Description for Company 58,https://www.ycombinator.com/companies/company58
Company 59,https://company59.com,Description for Company 59,https://www.ycombinator.com/companies/company59
Company 60,https://company60.com,Description for Company 60,https://www.ycombinator.com/companies/company60
Company 61,https://company61.com,Description for Company 61,https://www.ycombinator.com/companies/company61
Company 62,https://company62.com,Description for Company 62,https://www.ycombinator.com/companies/company62
Company 63,https://company63.com,Description for Company 63,https://www.ycombinator.com/companies/company63
Company 64,https://company64.com,Description for Company 64,https://www.ycombinator.com/companies/company64
Company 65,https://company65.com,Description for Company 65,https://www.ycombinator.com/companies/company65
